#downloadDate:20231101135859
#numberOfSitesDownloaded:27
#dataFiles
SITE_ID,filename,start_year,end_year,version,filetype,timestamp
US-xML,AMF_US-xML_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141502
US-xML,AMF_US-xML_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306141502
US-xNG,AMF_US-xNG_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140315
US-xNG,AMF_US-xNG_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140315
US-xNG,AMF_US-xNG_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140315
US-xNG,AMF_US-xNG_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140315
US-xNG,AMF_US-xNG_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140315
US-xNG,AMF_US-xNG_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140315
US-xNG,AMF_US-xNG_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140315
US-xNQ,AMF_US-xNQ_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306150229
US-xNQ,AMF_US-xNQ_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306150229
US-xNQ,AMF_US-xNQ_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150229
US-xNQ,AMF_US-xNQ_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150229
US-xNQ,AMF_US-xNQ_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150229
US-xNQ,AMF_US-xNQ_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150229
US-xNQ,AMF_US-xNQ_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150229
US-xRM,AMF_US-xRM_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140343
US-xRM,AMF_US-xRM_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140343
US-xRM,AMF_US-xRM_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140343
US-xRM,AMF_US-xRM_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140343
US-xRM,AMF_US-xRM_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140343
US-xRM,AMF_US-xRM_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140343
US-xRM,AMF_US-xRM_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140343
US-xSB,AMF_US-xSB_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140135
US-xSB,AMF_US-xSB_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140135
US-xSB,AMF_US-xSB_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140135
US-xSB,AMF_US-xSB_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140135
US-xSB,AMF_US-xSB_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140135
US-xSB,AMF_US-xSB_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140135
US-xSB,AMF_US-xSB_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140135
US-xSE,AMF_US-xSE_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140455
US-xSE,AMF_US-xSE_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140455
US-xSE,AMF_US-xSE_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140455
US-xSE,AMF_US-xSE_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140455
US-xSE,AMF_US-xSE_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140455
US-xSE,AMF_US-xSE_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140455
US-xSE,AMF_US-xSE_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140455
US-xSR,AMF_US-xSR_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306150258
US-xSR,AMF_US-xSR_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306150258
US-xSR,AMF_US-xSR_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150258
US-xSR,AMF_US-xSR_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150258
US-xSR,AMF_US-xSR_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150258
US-xSR,AMF_US-xSR_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150258
US-xSR,AMF_US-xSR_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306150258
US-xST,AMF_US-xST_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140025
US-xST,AMF_US-xST_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140025
US-xST,AMF_US-xST_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140025
US-xST,AMF_US-xST_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140025
US-xST,AMF_US-xST_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140025
US-xST,AMF_US-xST_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140025
US-xST,AMF_US-xST_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140025
US-xTA,AMF_US-xTA_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140154
US-xTA,AMF_US-xTA_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140154
US-xTA,AMF_US-xTA_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140154
US-xTA,AMF_US-xTA_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140154
US-xTA,AMF_US-xTA_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140154
US-xTA,AMF_US-xTA_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140154
US-xTA,AMF_US-xTA_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140154
US-xTR,AMF_US-xTR_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140229
US-xTR,AMF_US-xTR_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140229
US-xTR,AMF_US-xTR_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140229
US-xTR,AMF_US-xTR_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140229
US-xTR,AMF_US-xTR_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140229
US-xTR,AMF_US-xTR_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140229
US-xTR,AMF_US-xTR_FLUXNET_SUBSET_YY_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140229
US-xUK,AMF_US-xUK_FLUXNET_AUXMETEO_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140414
US-xUK,AMF_US-xUK_FLUXNET_AUXNEE_2017-2021_3-5.csv,2017,2021,3-5,AUX,202306140414
US-xUK,AMF_US-xUK_FLUXNET_SUBSET_DD_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140414
US-xUK,AMF_US-xUK_FLUXNET_SUBSET_HH_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140414
US-xUK,AMF_US-xUK_FLUXNET_SUBSET_MM_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140414
US-xUK,AMF_US-xUK_FLUXNET_SUBSET_WW_2017-2021_3-5.csv,2017,2021,3-5,FLUX-MET,202306140414
